sigma1	sigma2	posterior
-7.399999999999999894e-04	-3.000000000000000000e+04	4.657286861750497117e-274
-7.399999999999999894e-04	-2.500000000000000000e+04	5.850570995746081043e-273
-7.399999999999999894e-04	-2.000000000000000000e+04	7.309790025784745246e-272
-7.399999999999999894e-04	-1.500000000000000000e+04	9.083493993249218686e-271
-7.399999999999999894e-04	-1.000000000000000000e+04	1.122644744998356371e-269
-7.399999999999999894e-04	-5.000000000000000000e+03	1.379981122189095104e-268
-7.399999999999999894e-04	0.000000000000000000e+00	1.687117483974743992e-267
-7.399999999999999894e-04	5.000000000000000000e+03	2.051440333639378176e-266
-7.399999999999999894e-04	1.000000000000000000e+04	2.480926151553086977e-265
-7.399999999999999894e-04	1.500000000000000000e+04	2.984077974508235218e-264
-7.399999999999999894e-04	2.000000000000000000e+04	3.569832840150881864e-263
-7.399999999999999894e-04	2.500000000000000000e+04	4.247437302887626360e-262
-7.399999999999999894e-04	3.000000000000000000e+04	5.026289006263863004e-261
-7.399999999999999894e-04	3.500000000000000000e+04	5.915743281376535903e-260
-7.399999999999999894e-04	4.000000000000000000e+04	6.924884990910268569e-259
-7.399999999999999894e-04	4.500000000000000000e+04	8.062267320729682529e-258
-7.399999999999999894e-04	5.000000000000000000e+04	9.335620867180113732e-257
-7.399999999999999894e-04	5.500000000000000000e+04	1.075153817566984699e-255
-7.399999999999999894e-04	6.000000000000000000e+04	1.231514074841280611e-254
-7.399999999999999894e-04	6.500000000000000000e+04	1.402973736699971748e-253
-7.399999999999999894e-04	7.000000000000000000e+04	1.589648431695818108e-252
-7.399999999999999894e-04	7.500000000000000000e+04	1.791405955575198583e-251
-7.399999999999999894e-04	8.000000000000000000e+04	2.007836406344978945e-250
-7.399999999999999894e-04	8.500000000000000000e+04	2.238226424404835212e-249
-7.399999999999999894e-04	9.000000000000000000e+04	2.481538948275403211e-248
-7.399999999999999894e-04	9.500000000000000000e+04	2.736399839515552591e-247
-7.399999999999999894e-04	1.000000000000000000e+05	3.001092626136638583e-246
-7.399999999999999894e-04	1.050000000000000000e+05	3.273562419534011818e-245
-7.399999999999999894e-04	1.100000000000000000e+05	3.551429813367876863e-244
-7.399999999999999894e-04	1.150000000000000000e+05	3.832015252655244973e-243
-7.399999999999999894e-04	1.200000000000000000e+05	4.112374003654737854e-242
-7.399999999999999894e-04	1.250000000000000000e+05	4.389341430041283544e-241
-7.399999999999999894e-04	1.300000000000000000e+05	4.659587875718159704e-240
-7.399999999999999894e-04	1.350000000000000000e+05	4.919682004837756557e-239
-7.399999999999999894e-04	1.400000000000000000e+05	5.166161048207647843e-238
-7.399999999999999894e-04	1.450000000000000000e+05	5.395606042169676061e-237
-7.399999999999999894e-04	1.500000000000000000e+05	5.604719821051325876e-236
-7.399999999999999894e-04	1.550000000000000000e+05	5.790405325429241245e-235
-7.399999999999999894e-04	1.600000000000000000e+05	5.949841633858910733e-234
-7.399999999999999894e-04	1.650000000000000000e+05	6.080555132113850455e-233
-7.399999999999999894e-04	1.700000000000000000e+05	6.180483310272483105e-232
-7.399999999999999894e-04	1.750000000000000000e+05	6.248028883781514851e-231
-7.399999999999999894e-04	1.800000000000000000e+05	6.282102270053769549e-230
-7.399999999999999894e-04	1.850000000000000000e+05	6.282150826683133217e-229
-7.399999999999999894e-04	1.900000000000000000e+05	6.248173765365726685e-228
-7.399999999999999894e-04	1.950000000000000000e+05	6.180722171083294970e-227
-7.399999999999999894e-04	2.000000000000000000e+05	6.080884133734481861e-226
-7.200000000000000453e-04	-2.000000000000000000e+05	2.337689916827107045e-303
